trial,ball_speed,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,speed_change,ball_change,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
141,7.5,none_l,True,,right,,,False,False,False,,,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
142,8.5,45_bottom_l,False,,,3.732038833433762,slower,True,True,False,left,True,1.0182843749644235,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
143,7.5,135_top_l,True,3.613706291653216,,3.7186679166043177,slower,True,False,True,down,True,0.9742387083824724,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
144,8.0,135_top_u,True,3.6209547084290534,,,,False,False,True,,,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
145,8.5,none_r,True,,right,,,False,False,False,,,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
146,7.5,none_r,True,,right,3.725941041833721,faster,True,False,False,,False,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
147,7.5,none_u,False,,,3.7446492499439046,faster,True,True,True,up,True,0.8347044168040156,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
148,7.5,45_bottom_d,True,3.6186707500601187,,,,False,False,True,,,,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
149,8.0,none_d,False,,,,,False,True,True,,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
150,7.5,135_bottom_r,True,3.620115374913439,,3.7251747915288433,slower,True,False,True,up,True,0.7428177084075287,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
