,trial,ball_speed,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,speed_change,ball_change,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
134,85,8.0,45_top_u,False,,,3.993653375073336,faster,True,True,False,up,True,1.153543291729875,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
135,86,8.5,135_top_l,True,3.8648015416692942,,,,False,False,True,,,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
136,87,8.0,none_d,False,,,4.004134166636504,faster,True,True,True,down,True,1.3545532918069512,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
137,88,8.0,135_bottom_d,True,3.874531291658059,,3.998289333307184,slower,True,False,True,left,True,1.1406299583613873,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
138,89,7.5,135_top_l,True,3.860130083281547,,3.986823916551657,slower,True,False,True,down,True,0.8890737917972729,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
139,90,8.5,45_bottom_l,False,,,4.000243583344854,slower,True,True,False,left,True,0.9801336666569114,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
140,91,8.5,135_bottom_r,False,,,4.005610583350062,faster,True,True,False,right,True,0.8103833750355989,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
141,92,8.0,135_top_u,True,3.877893125056289,,4.0002348750131205,slower,True,False,True,,False,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
142,93,7.5,135_top_l,True,3.8616446250816807,,3.986708666780032,slower,True,False,True,down,True,1.0905326249776408,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
143,94,8.5,45_bottom_d,False,,,4.008295124978758,faster,True,True,False,down,True,1.0101637500338256,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
144,95,7.5,135_top_l,True,3.853215250070207,,3.9773466667393222,faster,True,False,True,down,True,1.4471003332873806,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
145,96,7.5,45_bottom_l,True,3.8818082499783486,,,,False,False,True,,,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
146,97,8.0,45_top_r,True,3.867158833425492,,3.985988833359442,slower,True,False,True,down,True,0.884337583440356,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
147,98,8.0,none_l,False,,,3.9902916667051618,faster,True,True,True,left,True,0.9956196666462348,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
148,99,8.0,none_l,True,,right,,,False,False,False,up,False,0.8629991250345483,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
149,100,8.5,135_top_u,True,3.867919583339244,,3.9875531250145286,faster,True,False,True,right,True,1.1132163750007749,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
